priority,symbol,identifier,series,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,totalTradedVolume,totalTradedValue,yearHigh,yearLow,nearWKH,nearWKL,perChange365d,date365dAgo,perChange30d,date30dAgo,chart365dPath,chart30dPath,chartTodayPath
0,KRBL,KRBLEQN,EQ,292.8,298.7,289,298.7,294.25,4.45,1.51,256291,74985620.78,392.5,258.15,23.898089171974526,-15.707921750920013,-21.25,19-Oct-2023,-4.97,18-Sep-2024,https://nsearchives.nseindia.com/365d/KRBL-EQ.svg,https://nsearchives.nseindia.com/30d/KRBL-EQ.svg,https://nsearchives.nseindia.com/today/KRBLEQN.svg
0,DLF,DLFEQN,EQ,860.9,880.35,846.75,874,861,13,1.51,2492488,2160712922.32,967.6,513.5,9.673418768085988,-70.20447906523856,56.25,19-Oct-2023,1.68,18-Sep-2024,https://nsearchives.nseindia.com/365d/DLF-EQ.svg,https://nsearchives.nseindia.com/30d/DLF-EQ.svg,https://nsearchives.nseindia.com/today/DLFEQN.svg
0,HCG,HCGEQN,EQ,435.9,442,427.6,440.2,433.7,6.5,1.5,95519,41658701.47,461.7,314,4.656703487112844,-40.19108280254777,17.81,19-Oct-2023,6.76,18-Sep-2024,https://nsearchives.nseindia.com/365d/HCG-EQ.svg,https://nsearchives.nseindia.com/30d/HCG-EQ.svg,https://nsearchives.nseindia.com/today/HCGEQN.svg
0,HAPPYFORGE,HAPPYFORGEEQN,EQ,1113,1135,1096.35,1125,1108.5,16.5,1.49,23885,26787027.5,1299.95,813.2,13.4582099311512,-38.342351205115584,-,-,-6.9,18-Sep-2024,-,https://nsearchives.nseindia.com/30d/HAPPYFORGE-EQ.svg,https://nsearchives.nseindia.com/today/HAPPYFORGEEQN.svg
0,GRASIM,GRASIMEQN,EQ,2700,2766,2674.65,2746,2705.85,40.15,1.48,345996,946769614.5600001,2877.75,1828.05,4.578229519589957,-50.21470966330243,39.75,19-Oct-2023,1.4,18-Sep-2024,https://nsearchives.nseindia.com/365d/GRASIM-EQ.svg,https://nsearchives.nseindia.com/30d/GRASIM-EQ.svg,https://nsearchives.nseindia.com/today/GRASIMEQN.svg
0,SWSOLAR,SWSOLAREQN,EQ,621,638.85,606.25,630.75,621.55,9.2,1.48,2106640,1322380060.8,828,253,23.82246376811594,-149.3083003952569,-,-,-11.17,18-Sep-2024,-,https://nsearchives.nseindia.com/30d/SWSOLAR-EQ.svg,https://nsearchives.nseindia.com/today/SWSOLAREQN.svg
0,OIL,OILEQN,EQ,525.1,546.95,522.75,532.85,525.1,7.75,1.48,4624545,2480420956.2000003,767.9,195.47,30.60945435603594,-172.59937586330383,64.58,19-Oct-2023,-10.35,18-Sep-2024,https://nsearchives.nseindia.com/365d/OIL-EQ.svg,https://nsearchives.nseindia.com/30d/OIL-EQ.svg,https://nsearchives.nseindia.com/today/OILEQN.svg
0,SBCL,SBCLEQN,EQ,688.95,707.45,666.45,695.5,685.5,10,1.46,143472,99502136.16,729.8,460,4.699917785694705,-51.19565217391305,27.42,19-Oct-2023,16.74,18-Sep-2024,https://nsearchives.nseindia.com/365d/SBCL-EQ.svg,https://nsearchives.nseindia.com/30d/SBCL-EQ.svg,https://nsearchives.nseindia.com/today/SBCLEQN.svg
0,GLAXO,GLAXOEQN,EQ,2659,2690.45,2615.25,2689.8,2651.15,38.65,1.46,128125,338288437.5,3088,1385.05,12.895077720207249,-94.20237536551029,73.01,19-Oct-2023,-4.73,18-Sep-2024,https://nsearchives.nseindia.com/365d/GLAXO-EQ.svg,https://nsearchives.nseindia.com/30d/GLAXO-EQ.svg,https://nsearchives.nseindia.com/today/GLAXOEQN.svg
0,COROMANDEL,COROMANDELEQN,EQ,1577.3,1626.25,1570.7,1615,1591.8,23.2,1.46,119351,192087079.93,1789,1019.05,9.726103968697597,-58.48093812864924,39.74,19-Oct-2023,-6.29,18-Sep-2024,https://nsearchives.nseindia.com/365d/COROMANDEL-EQ.svg,https://nsearchives.nseindia.com/30d/COROMANDEL-EQ.svg,https://nsearchives.nseindia.com/today/COROMANDELEQN.svg
